,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS
31,PB,19313,BANANEIRAS,36202,28980,7222,5122,5433,19.949174078780178,17.674258109040718,18.747412008281575
32,PB,19321,ASSUNÇÃO,8286,6562,1724,493,1040,20.80617909727251,7.512953367875648,15.848826577263027
33,PB,19330,BARRA DE SANTA ROSA,21364,17480,3884,1199,2606,18.1801160831305,6.859267734553775,14.90846681922197
34,PB,19348,ZABELÊ,4776,3822,954,362,563,19.974874371859297,9.47148090005233,14.730507587650447
35,PB,19356,BARRA DE SÃO MIGUEL,11358,9865,1493,1058,1360,13.144919880260609,10.72478459199189,13.786112519006588
36,PB,19364,CACIMBAS,12558,9287,3271,1118,1434,26.04714126453257,12.038333153871003,15.440938946915042
37,PB,19372,BAYEUX,146582,125990,20592,21765,25984,14.048109590536356,17.2751805698865,20.623859036431462
38,PB,19380,CAJAZEIRINHAS,7726,6143,1583,367,824,20.48925705410303,5.9742796679147,13.413641543219926
39,PB,19399,BELÉM,26194,20881,5313,3587,4368,20.283270978086584,17.17829605861788,20.918538384177
40,PB,19402,SÃO BENTINHO,7608,6022,1586,486,727,20.846477392218716,8.070408502158752,12.072401195616074
41,PB,19410,BELÉM DO BREJO DO CRUZ,12644,9990,2654,1161,1194,20.99019297690604,11.621621621621623,11.951951951951951
42,PB,19429,SÃO DOMINGOS,6426,5169,1257,266,664,19.561157796451916,5.146063068291739,12.845811568968854
43,PB,19437,BOA VENTURA,10662,8058,2604,484,1217,24.42318514350028,6.006453214197071,15.103003226607099
44,PB,19445,SÃO JOSÉ DE PRINCESA,6428,5267,1161,438,971,18.061605476042313,8.315929371558763,18.43554205430036
45,PB,19453,BOM JESUS,6102,5046,1056,443,730,17.305801376597838,8.779231074118114,14.466904478795083
46,PB,19461,MARIZÓPOLIS,12212,10326,1886,1629,1697,15.443825745168688,15.77571179546775,16.434243656788688
47,PB,19470,BOM SUCESSO,9056,7538,1518,454,719,16.762367491166078,6.022817723534094,9.53833908198461
48,PB,19488,MATO GROSSO,6482,4666,1816,259,640,28.016044430731256,5.550792970424347,13.716245177882556
49,PB,19496,BONITO DE SANTA FÉ,15156,12047,3109,901,1722,20.51332805489575,7.479040425002076,14.294015107495643
50,PB,19500,BERNARDINO BATISTA,6332,4882,1450,208,630,22.89955780164245,4.260548955346169,12.904547316673495
51,PB,19518,BOQUEIRÃO,30086,24904,5182,3286,4379,17.223957987103635,13.19466752328943,17.583520719563122
52,PB,19526,POÇO DE JOSÉ DE MOURA,7832,6424,1408,488,1096,17.97752808988764,7.596513075965131,17.06102117061021
53,PB,19534,IGARACY,11510,8522,2988,416,1123,25.960034752389227,4.8814832199014315,13.17765782680122
54,PB,19542,SÃO JOSÉ DO BREJO DO CRUZ,4400,3729,671,209,373,15.25,5.604719764011799,10.002681684097613
55,PB,19550,BORBOREMA,9098,7150,1948,922,1143,21.411299186634423,12.895104895104895,15.986013986013987
56,PB,19569,SANTA INÊS,7636,6017,1619,401,976,21.202200104766895,6.664450722951637,16.22070799401695
