,Unnamed: 0,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS,ANALFABETO,ENSINO FUNDAMENTAL COMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MÉDIO COMPLETO,ENSINO MÉDIO INCOMPLETO,LÊ E ESCREVE,SUPERIOR COMPLETO,SUPERIOR INCOMPLETO,100 anos ou mais              ,16 anos                       ,17 anos                       ,18 anos                       ,19 anos                       ,20 anos                       ,21 a 24 anos                  ,25 a 29 anos                  ,30 a 34 anos                  ,35 a 39 anos                  ,40 a 44 anos                  ,45 a 49 anos                  ,50 a 54 anos                  ,55 a 59 anos                  ,60 a 64 anos                  ,65 a 69 anos                  ,70 a 74 anos                  ,75 a 79 anos                  ,80 a 84 anos                  ,85 a 89 anos                  ,90 a 94 anos                  ,95 a 99 anos                  ,Inválido                      ,FEMININO,MASCULINO,codigo_ibge,municipio,pib_mil_reais
30,30,PB,19305,BARAÚNA,8948,7272,1676,1019,1251,18.73044255699598,14.012651265126513,17.2029702970297,505.0,244.0,1087.0,651.0,851.0,912.0,97.0,127.0,2.0,66.0,86.0,90.0,88.0,108.0,366.0,455.0,460.0,426.0,377.0,396.0,319.0,292.0,257.0,229.0,191.0,137.0,70.0,45.0,11.0,3.0,0.0,2266.0,2208.0,2501534,Baraúna - PB,62002
31,31,PB,19313,BANANEIRAS,36202,28980,7222,5122,5433,19.949174078780175,17.674258109040718,18.74741200828157,1795.0,788.0,4737.0,2209.0,2756.0,4174.0,1037.0,605.0,0.0,165.0,239.0,298.0,330.0,346.0,1538.0,1862.0,1769.0,1857.0,1740.0,1516.0,1496.0,1316.0,1098.0,865.0,712.0,457.0,296.0,146.0,42.0,13.0,0.0,9402.0,8699.0,2501500,Bananeiras - PB,370980
32,32,PB,19321,ASSUNÇÃO,8286,6562,1724,493,1040,20.80617909727251,7.512953367875648,15.848826577263027,263.0,200.0,1476.0,632.0,574.0,682.0,185.0,131.0,0.0,41.0,64.0,88.0,82.0,87.0,366.0,469.0,412.0,472.0,437.0,357.0,288.0,222.0,196.0,177.0,179.0,80.0,77.0,28.0,18.0,3.0,0.0,2089.0,2054.0,2501351,Assunção - PB,56279
33,33,PB,19330,BARRA DE SANTA ROSA,21364,17480,3884,1199,2606,18.1801160831305,6.859267734553775,14.90846681922197,1230.0,405.0,2695.0,1584.0,1359.0,2605.0,526.0,278.0,3.0,100.0,157.0,177.0,162.0,214.0,835.0,1017.0,993.0,1103.0,1031.0,924.0,736.0,775.0,615.0,565.0,409.0,349.0,280.0,145.0,72.0,20.0,0.0,5385.0,5297.0,2501609,Barra de Santa Rosa - PB,187975
34,34,PB,19348,ZABELÊ,4776,3822,954,362,563,19.974874371859297,9.47148090005233,14.730507587650449,204.0,139.0,476.0,525.0,411.0,435.0,125.0,73.0,0.0,34.0,35.0,59.0,61.0,51.0,217.0,233.0,208.0,255.0,224.0,204.0,167.0,173.0,155.0,105.0,79.0,65.0,37.0,17.0,4.0,5.0,0.0,1226.0,1162.0,2517407,Zabelê - PB,35337
35,35,PB,19356,BARRA DE SÃO MIGUEL,11358,9865,1493,1058,1360,13.144919880260607,10.72478459199189,13.786112519006588,377.0,416.0,1882.0,901.0,965.0,805.0,196.0,137.0,0.0,61.0,55.0,95.0,103.0,105.0,458.0,591.0,631.0,592.0,526.0,472.0,415.0,419.0,379.0,259.0,204.0,144.0,105.0,31.0,30.0,4.0,0.0,2790.0,2889.0,2501708,Barra de São Miguel - PB,101524
36,36,PB,19364,CACIMBAS,12558,9287,3271,1118,1434,26.04714126453257,12.038333153871005,15.440938946915042,680.0,231.0,2096.0,819.0,1025.0,1131.0,203.0,94.0,1.0,86.0,137.0,151.0,177.0,164.0,717.0,808.0,647.0,636.0,558.0,455.0,381.0,328.0,324.0,241.0,161.0,129.0,102.0,48.0,21.0,6.0,1.0,3205.0,3074.0,2503555,Cacimbas - PB,84005
37,37,PB,19372,BAYEUX,146582,125990,20592,21765,25984,14.048109590536356,17.2751805698865,20.623859036431465,2397.0,4354.0,20831.0,19610.0,13041.0,6719.0,3365.0,2974.0,4.0,349.0,549.0,898.0,1091.0,1267.0,6153.0,8153.0,7802.0,7889.0,8138.0,7279.0,6676.0,5568.0,3946.0,2868.0,2211.0,1415.0,688.0,256.0,71.0,16.0,4.0,39321.0,33970.0,2501807,Bayeux - PB,1899000
38,38,PB,19380,CAJAZEIRINHAS,7726,6143,1583,367,824,20.48925705410303,5.9742796679147,13.413641543219926,394.0,170.0,1003.0,587.0,570.0,850.0,177.0,112.0,2.0,59.0,57.0,72.0,97.0,65.0,289.0,395.0,380.0,422.0,360.0,299.0,279.0,341.0,245.0,161.0,148.0,88.0,66.0,28.0,8.0,2.0,0.0,1909.0,1954.0,2503753,Cajazeirinhas - PB,51075
39,39,PB,19399,BELÉM,26194,20881,5313,3587,4368,20.283270978086584,17.17829605861788,20.918538384177,1128.0,577.0,2888.0,2709.0,1554.0,2967.0,762.0,512.0,4.0,83.0,145.0,172.0,181.0,206.0,1088.0,1323.0,1242.0,1302.0,1352.0,1207.0,1002.0,924.0,717.0,611.0,614.0,403.0,304.0,143.0,58.0,16.0,0.0,6832.0,6265.0,2501906,Belém - PB,268655
