indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,735,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,535,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2510808,Patos (PB),Domicílios particulares permanentes,Unidades,974,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,27934,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,4726,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,8594,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,8982,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,3396,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,523,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,235,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,90,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2501807,Bayeux (PB),Domicílios particulares permanentes,Unidades,1388,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,18742,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,3750,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,5262,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/4 a 1/2 salário mínimo
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,5681,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1/2 a 1 salário mínimo
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,2216,Classes de rendimento nominal mensal domiciliar per capita,Mais de 1 a 2 salários mínimos
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,616,Classes de rendimento nominal mensal domiciliar per capita,Mais de 2 a 3 salários mínimos
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,396,Classes de rendimento nominal mensal domiciliar per capita,Mais de 3 a 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,272,Classes de rendimento nominal mensal domiciliar per capita,Mais de 5 salários mínimos
Distribuição por faixas de renda,2010,Município,2516201,Sousa (PB),Domicílios particulares permanentes,Unidades,549,Classes de rendimento nominal mensal domiciliar per capita,Sem rendimento
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,17110,Classes de rendimento nominal mensal domiciliar per capita,Total
Distribuição por faixas de renda,2010,Município,2503209,Cabedelo (PB),Domicílios particulares permanentes,Unidades,2234,Classes de rendimento nominal mensal domiciliar per capita,Até 1/4 de salário mínimo
